camera,motion_detector,sound_sensor,sound_alert,light,monitor
7,10,70,-1,-1,7
10,3,23,-2,-1,10
9,6,33,-2,-1,9
0,2,60,-2,-2,0
5,10,83,-1,-1,5
2,1,81,-2,-1,2
8,8,7,-2,-1,8
8,0,23,-2,-1,8
5,2,82,-2,-1,5
9,5,56,-2,-1,9
9,8,34,-2,-1,9
8,10,88,-1,-1,8
5,2,46,-2,-1,5
9,4,9,-2,-1,9
0,6,88,-1,-2,0
2,4,31,-2,-1,2
5,1,77,-2,-1,5
1,5,47,-2,-1,1
4,7,11,-2,-1,4
7,5,14,-2,-1,7
0,7,33,-2,-2,0
4,2,72,-2,-1,4
6,1,85,-2,-1,6
2,1,79,-2,-1,2
4,0,82,-2,-1,4
1,3,71,-2,-1,1
6,0,2,-2,-1,6
1,5,74,-2,-1,1
8,2,18,-2,-1,8
5,1,81,-2,-1,5
1,3,98,-2,-1,1
6,10,25,-2,-1,6
5,8,44,-2,-1,5
1,1,67,-2,-1,1
0,8,11,-2,-2,0
3,5,65,-2,-1,3
9,2,70,-2,-1,9
9,6,80,-1,-1,9
8,6,37,-2,-1,8
6,10,58,-1,-1,6
5,8,30,-2,-1,5
6,1,84,-2,-1,6
10,8,51,-1,-1,10
8,2,4,-2,-1,8
1,3,22,-2,-1,1
6,0,57,-2,-1,6
9,8,77,-1,-1,9
3,4,79,-2,-1,3
4,10,75,-1,-1,4
8,4,21,-2,-1,8
9,6,5,-2,-1,9
3,4,35,-2,-1,3
7,5,51,-2,-1,7
7,3,34,-2,-1,7
1,8,49,-2,-1,1
6,0,73,-2,-1,6
9,1,64,-2,-1,9
9,7,89,-1,-1,9
9,0,9,-2,-1,9
10,5,45,-2,-1,10
10,7,62,-1,-1,10
2,2,87,-2,-1,2
0,1,82,-2,-2,0
2,6,22,-2,-1,2
3,4,42,-2,-1,3
4,10,30,-2,-1,4
2,0,15,-2,-1,2
8,1,40,-2,-1,8
10,1,76,-2,-1,10
9,2,20,-2,-1,9
9,9,31,-2,-1,9
7,9,1,-2,-1,7
2,10,51,-1,-1,2
3,6,77,-1,-1,3
4,6,87,-1,-1,4
5,0,17,-2,-1,5
1,4,7,-2,-1,1
1,5,74,-2,-1,1
4,9,23,-2,-1,4
8,0,87,-2,-1,8
1,2,26,-2,-1,1
1,4,50,-2,-1,1
0,4,55,-2,-2,0
10,4,59,-2,-1,10
4,9,47,-2,-1,4
1,2,84,-2,-1,1
6,0,3,-2,-1,6
4,3,55,-2,-1,4
9,9,34,-2,-1,9
6,5,46,-2,-1,6
4,4,88,-2,-1,4
1,3,33,-2,-1,1
9,7,36,-2,-1,9
5,5,96,-2,-1,5
0,2,6,-2,-2,0
9,8,29,-2,-1,9
2,2,17,-2,-1,2
1,7,15,-2,-1,1
5,2,17,-2,-1,5
6,1,76,-2,-1,6
8,5,57,-2,-1,8
8,4,37,-2,-1,8
8,4,12,-2,-1,8
8,6,30,-2,-1,8
9,9,22,-2,-1,9
4,8,84,-1,-1,4
0,10,26,-2,-2,0
10,0,39,-2,-1,10
3,9,27,-2,-1,3
7,4,60,-2,-1,7
4,5,26,-2,-1,4
4,8,33,-2,-1,4
8,5,59,-2,-1,8
4,8,90,-1,-1,4
6,9,72,-1,-1,6
4,7,79,-1,-1,4
8,0,53,-2,-1,8
0,8,24,-2,-2,0
6,0,12,-2,-1,6
4,4,90,-2,-1,4
3,1,97,-2,-1,3
8,7,28,-2,-1,8
4,9,56,-1,-1,4
9,10,87,-1,-1,9
7,6,63,-1,-1,7
4,8,57,-1,-1,4
4,10,94,-1,-1,4
8,2,99,-2,-1,8
2,7,71,-1,-1,2
1,0,13,-2,-1,1
6,3,5,-2,-1,6
5,1,11,-2,-1,5
6,7,91,-1,-1,6
1,3,21,-2,-1,1
1,5,90,-2,-1,1
7,10,62,-1,-1,7
6,6,99,-1,-1,6
6,7,75,-1,-1,6
5,0,45,-2,-1,5
3,2,46,-2,-1,3
5,0,17,-2,-1,5
8,2,34,-2,-1,8
7,8,94,-1,-1,7
4,10,97,-1,-1,4
2,3,95,-2,-1,2
7,3,70,-2,-1,7
9,2,3,-2,-1,9
4,6,67,-1,-1,4
5,4,20,-2,-1,5
1,4,24,-2,-1,1
8,0,44,-2,-1,8
8,10,27,-2,-1,8
10,5,74,-2,-1,10
9,2,93,-2,-1,9
4,10,90,-1,-1,4
9,9,29,-2,-1,9
3,6,16,-2,-1,3
9,2,78,-2,-1,9
6,5,30,-2,-1,6
3,10,12,-2,-1,3
6,8,48,-2,-1,6
1,5,77,-2,-1,1
3,10,98,-1,-1,3
0,0,89,-2,-2,0
1,9,26,-2,-1,1
3,0,78,-2,-1,3
10,8,8,-2,-1,10
5,9,17,-2,-1,5
9,7,29,-2,-1,9
0,7,16,-2,-2,0
6,0,54,-2,-1,6
4,8,14,-2,-1,4
6,4,58,-2,-1,6
5,1,26,-2,-1,5
8,9,75,-1,-1,8
7,9,9,-2,-1,7
2,6,30,-2,-1,2
4,1,77,-2,-1,4
0,2,52,-2,-2,0
0,2,58,-2,-2,0
5,5,80,-2,-1,5
6,1,76,-2,-1,6
10,0,96,-2,-1,10
5,6,85,-1,-1,5
6,9,79,-1,-1,6
10,7,48,-2,-1,10
0,8,13,-2,-2,0
4,0,43,-2,-1,4
9,9,73,-1,-1,9
8,2,97,-2,-1,8
8,0,59,-2,-1,8
1,5,35,-2,-1,1
8,2,66,-2,-1,8
8,9,40,-2,-1,8
0,6,43,-2,-2,0
0,3,1,-2,-2,0
10,5,69,-2,-1,10
10,1,32,-2,-1,10
3,2,15,-2,-1,3
9,7,36,-2,-1,9
3,5,43,-2,-1,3
7,10,95,-1,-1,7
4,3,38,-2,-1,4
5,3,32,-2,-1,5
1,7,61,-1,-1,1
3,7,70,-1,-1,3
4,2,10,-2,-1,4
3,6,39,-2,-1,3
1,1,38,-2,-1,1
4,4,43,-2,-1,4
5,5,50,-2,-1,5
7,5,33,-2,-1,7
3,3,67,-2,-1,3
0,2,25,-2,-2,0
10,4,40,-2,-1,10
7,5,12,-2,-1,7
9,4,85,-2,-1,9
3,7,84,-1,-1,3
8,8,74,-1,-1,8
5,6,71,-1,-1,5
2,4,81,-2,-1,2
8,4,58,-2,-1,8
2,9,61,-1,-1,2
10,0,73,-2,-1,10
10,10,63,-1,-1,10
10,6,87,-1,-1,10
4,5,35,-2,-1,4
2,8,92,-1,-1,2
8,0,35,-2,-1,8
8,3,87,-2,-1,8
1,1,3,-2,-1,1
5,4,23,-2,-1,5
5,4,84,-2,-1,5
2,6,46,-2,-1,2
0,2,17,-2,-2,0
7,2,46,-2,-1,7
10,9,47,-2,-1,10
3,10,92,-1,-1,3
8,4,80,-2,-1,8
3,9,45,-2,-1,3
3,6,62,-1,-1,3
1,0,2,-2,-1,1
6,4,47,-2,-1,6
9,7,69,-1,-1,9
2,7,55,-1,-1,2
2,6,77,-1,-1,2
8,1,98,-2,-1,8
6,0,4,-2,-1,6
1,5,59,-2,-1,1
9,9,89,-1,-1,9
8,2,50,-2,-1,8
6,4,8,-2,-1,6
9,4,74,-2,-1,9
4,3,45,-2,-1,4
6,4,90,-2,-1,6
3,8,32,-2,-1,3
0,1,45,-2,-2,0
6,7,92,-1,-1,6
10,6,40,-2,-1,10
3,0,69,-2,-1,3
0,0,25,-2,-2,0
1,7,14,-2,-1,1
8,4,29,-2,-1,8
4,2,34,-2,-1,4
2,7,20,-2,-1,2
8,9,76,-1,-1,8
7,4,41,-2,-1,7
2,4,57,-2,-1,2
6,8,94,-1,-1,6
5,6,19,-2,-1,5
0,5,17,-2,-2,0
10,8,32,-2,-1,10
3,10,23,-2,-1,3
3,5,8,-2,-1,3
4,5,40,-2,-1,4
4,8,83,-1,-1,4
0,8,90,-1,-2,0
4,10,27,-2,-1,4
1,8,42,-2,-1,1
0,0,36,-2,-2,0
0,10,79,-1,-2,0
1,1,32,-2,-1,1
4,10,48,-2,-1,4
6,5,14,-2,-1,6
3,9,87,-1,-1,3
9,3,85,-2,-1,9
1,4,72,-2,-1,1
2,2,68,-2,-1,2
5,1,48,-2,-1,5
3,3,36,-2,-1,3
10,3,29,-2,-1,10
7,9,82,-1,-1,7
4,6,17,-2,-1,4
5,10,33,-2,-1,5
6,0,94,-2,-1,6
5,1,68,-2,-1,5
1,9,82,-1,-1,1
6,5,40,-2,-1,6
10,6,79,-1,-1,10
8,2,80,-2,-1,8
5,5,84,-2,-1,5
0,6,98,-1,-2,0
8,6,89,-1,-1,8
8,6,29,-2,-1,8
2,1,10,-2,-1,2
1,8,37,-2,-1,1
8,1,28,-2,-1,8
0,6,20,-2,-2,0
7,2,18,-2,-1,7
5,8,21,-2,-1,5
0,0,41,-2,-2,0
4,1,31,-2,-1,4
3,1,42,-2,-1,3
10,6,47,-2,-1,10
5,10,84,-1,-1,5
3,10,54,-1,-1,3
6,8,67,-1,-1,6
2,8,100,-1,-1,2
8,2,78,-2,-1,8
0,10,29,-2,-2,0
0,8,15,-2,-2,0
7,7,99,-1,-1,7
9,6,88,-1,-1,9
6,7,35,-2,-1,6
7,0,39,-2,-1,7
9,0,17,-2,-1,9
6,7,59,-1,-1,6
4,6,23,-2,-1,4
2,7,35,-2,-1,2
5,5,96,-2,-1,5
7,7,71,-1,-1,7
10,3,40,-2,-1,10
6,9,35,-2,-1,6
0,10,69,-1,-2,0
4,10,39,-2,-1,4
2,10,66,-1,-1,2
1,0,51,-2,-1,1
2,2,76,-2,-1,2
8,1,89,-2,-1,8
9,9,2,-2,-1,9
4,1,91,-2,-1,4
5,2,100,-2,-1,5
5,2,70,-2,-1,5
10,9,22,-2,-1,10
4,9,21,-2,-1,4
7,1,95,-2,-1,7
9,2,90,-2,-1,9
9,9,24,-2,-1,9
5,6,77,-1,-1,5
2,5,27,-2,-1,2
5,5,59,-2,-1,5
4,8,71,-1,-1,4
3,10,69,-1,-1,3
1,0,39,-2,-1,1
9,6,43,-2,-1,9
4,7,83,-1,-1,4
4,2,3,-2,-1,4
4,7,92,-1,-1,4
1,0,82,-2,-1,1
8,8,38,-2,-1,8
8,0,63,-2,-1,8
7,1,90,-2,-1,7
4,2,72,-2,-1,4
10,6,33,-2,-1,10
0,10,46,-2,-2,0
3,3,20,-2,-1,3
1,1,27,-2,-1,1
1,9,42,-2,-1,1
0,1,79,-2,-2,0
10,10,24,-2,-1,10
10,2,30,-2,-1,10
3,0,10,-2,-1,3
9,5,61,-2,-1,9
3,10,2,-2,-1,3
0,9,19,-2,-2,0
4,1,9,-2,-1,4
3,8,25,-2,-1,3
6,10,86,-1,-1,6
10,10,80,-1,-1,10
8,10,27,-2,-1,8
2,10,88,-1,-1,2
2,2,4,-2,-1,2
8,1,75,-2,-1,8
5,10,60,-1,-1,5
3,5,67,-2,-1,3
8,6,36,-2,-1,8
8,7,86,-1,-1,8
9,10,81,-1,-1,9
2,2,89,-2,-1,2
0,0,17,-2,-2,0
2,0,69,-2,-1,2
2,7,45,-2,-1,2
3,0,13,-2,-1,3
7,6,6,-2,-1,7
3,2,3,-2,-1,3
5,0,90,-2,-1,5
3,6,54,-1,-1,3
6,5,52,-2,-1,6
1,6,97,-1,-1,1
5,0,24,-2,-1,5
2,4,84,-2,-1,2
10,1,28,-2,-1,10
1,3,23,-2,-1,1
8,8,100,-1,-1,8
4,5,90,-2,-1,4
6,6,8,-2,-1,6
6,6,91,-1,-1,6
9,3,51,-2,-1,9
6,4,78,-2,-1,6
1,4,93,-2,-1,1
3,4,42,-2,-1,3
7,0,90,-2,-1,7
0,2,65,-2,-2,0
8,6,5,-2,-1,8
8,1,83,-2,-1,8
0,5,98,-2,-2,0
2,10,39,-2,-1,2
6,10,52,-1,-1,6
9,10,83,-1,-1,9
9,1,26,-2,-1,9
10,2,87,-2,-1,10
1,10,49,-2,-1,1
0,9,23,-2,-2,0
10,6,49,-2,-1,10
2,2,64,-2,-1,2
1,6,44,-2,-1,1
3,3,66,-2,-1,3
1,2,55,-2,-1,1
9,4,89,-2,-1,9
10,3,85,-2,-1,10
0,0,11,-2,-2,0
4,9,14,-2,-1,4
5,4,17,-2,-1,5
6,4,60,-2,-1,6
4,8,78,-1,-1,4
6,10,18,-2,-1,6
4,9,41,-2,-1,4
7,2,96,-2,-1,7
7,7,38,-2,-1,7
10,2,95,-2,-1,10
3,0,61,-2,-1,3
4,8,6,-2,-1,4
0,1,83,-2,-2,0
1,1,37,-2,-1,1
5,3,54,-2,-1,5
2,10,69,-1,-1,2
6,0,89,-2,-1,6
5,2,76,-2,-1,5
10,1,2,-2,-1,10
9,3,86,-2,-1,9
4,6,65,-1,-1,4
5,7,28,-2,-1,5
1,10,32,-2,-1,1
2,0,65,-2,-1,2
3,7,71,-1,-1,3
1,3,37,-2,-1,1
1,5,34,-2,-1,1
2,4,85,-2,-1,2
10,3,69,-2,-1,10
3,2,39,-2,-1,3
5,6,52,-1,-1,5
6,7,31,-2,-1,6
10,0,5,-2,-1,10
5,8,84,-1,-1,5
5,1,63,-2,-1,5
6,2,79,-2,-1,6
4,4,45,-2,-1,4
7,3,14,-2,-1,7
3,5,57,-2,-1,3
3,3,36,-2,-1,3
10,9,29,-2,-1,10
9,10,23,-2,-1,9
1,2,47,-2,-1,1
0,0,97,-2,-2,0
6,7,98,-1,-1,6
2,10,36,-2,-1,2
10,0,66,-2,-1,10
0,10,53,-1,-2,0
8,6,42,-2,-1,8
9,2,58,-2,-1,9
3,7,94,-1,-1,3
8,2,68,-2,-1,8
8,3,53,-2,-1,8
9,0,68,-2,-1,9
6,7,63,-1,-1,6
2,4,67,-2,-1,2
2,1,74,-2,-1,2
7,7,55,-1,-1,7
3,4,51,-2,-1,3
4,5,69,-2,-1,4
1,0,13,-2,-1,1
10,3,54,-2,-1,10
6,5,35,-2,-1,6
9,3,24,-2,-1,9
2,6,20,-2,-1,2
4,7,86,-1,-1,4
3,2,84,-2,-1,3
8,0,36,-2,-1,8
2,2,9,-2,-1,2
6,6,95,-1,-1,6
7,10,98,-1,-1,7
5,1,70,-2,-1,5
8,1,22,-2,-1,8
3,2,66,-2,-1,3
4,2,47,-2,-1,4
2,2,78,-2,-1,2
4,4,69,-2,-1,4
6,3,92,-2,-1,6
2,4,77,-2,-1,2
5,3,68,-2,-1,5
3,6,89,-1,-1,3
1,1,82,-2,-1,1
5,8,88,-1,-1,5
1,9,67,-1,-1,1
3,6,89,-1,-1,3
1,8,24,-2,-1,1
1,1,95,-2,-1,1
1,6,55,-1,-1,1
6,6,37,-2,-1,6
3,5,4,-2,-1,3
3,10,44,-2,-1,3
9,7,89,-1,-1,9
4,5,67,-2,-1,4
3,4,83,-2,-1,3
10,9,71,-1,-1,10
3,3,63,-2,-1,3
3,3,15,-2,-1,3
3,8,45,-2,-1,3
0,2,75,-2,-2,0
5,9,68,-1,-1,5
10,4,97,-2,-1,10
1,3,87,-2,-1,1
9,4,41,-2,-1,9
7,2,11,-2,-1,7
6,3,89,-2,-1,6
10,2,87,-2,-1,10
8,0,1,-2,-1,8
6,7,36,-2,-1,6
1,2,35,-2,-1,1
5,4,30,-2,-1,5
3,10,70,-1,-1,3
4,4,69,-2,-1,4
4,7,92,-1,-1,4
10,6,28,-2,-1,10
2,4,57,-2,-1,2
4,3,50,-2,-1,4
10,8,100,-1,-1,10
0,2,17,-2,-2,0
9,9,82,-1,-1,9
3,9,6,-2,-1,3
5,0,65,-2,-1,5
6,4,72,-2,-1,6
9,8,26,-2,-1,9
10,2,47,-2,-1,10
7,6,17,-2,-1,7
6,5,14,-2,-1,6
2,1,8,-2,-1,2
6,1,39,-2,-1,6
9,10,51,-1,-1,9
2,7,80,-1,-1,2
9,1,28,-2,-1,9
1,2,25,-2,-1,1
10,7,63,-1,-1,10
2,5,27,-2,-1,2
3,7,62,-1,-1,3
2,9,77,-1,-1,2
6,10,55,-1,-1,6
2,1,73,-2,-1,2
1,7,21,-2,-1,1
5,1,95,-2,-1,5
2,0,79,-2,-1,2
0,4,87,-2,-2,0
4,0,45,-2,-1,4
9,10,68,-1,-1,9
3,9,5,-2,-1,3
1,1,56,-2,-1,1
2,7,40,-2,-1,2
8,3,91,-2,-1,8
9,5,97,-2,-1,9
4,7,66,-1,-1,4
7,6,45,-2,-1,7
4,5,25,-2,-1,4
5,4,89,-2,-1,5
5,9,17,-2,-1,5
4,9,48,-2,-1,4
7,1,5,-2,-1,7
9,7,15,-2,-1,9
10,0,68,-2,-1,10
6,3,16,-2,-1,6
10,3,40,-2,-1,10
0,4,5,-2,-2,0
2,0,90,-2,-1,2
5,4,35,-2,-1,5
0,3,85,-2,-2,0
3,2,49,-2,-1,3
8,9,39,-2,-1,8
8,7,92,-1,-1,8
9,7,78,-1,-1,9
4,7,53,-1,-1,4
4,3,37,-2,-1,4
7,4,11,-2,-1,7
5,10,71,-1,-1,5
7,2,39,-2,-1,7
2,4,100,-2,-1,2
2,7,17,-2,-1,2
2,2,10,-2,-1,2
1,5,56,-2,-1,1
4,1,20,-2,-1,4
0,2,71,-2,-2,0
8,9,39,-2,-1,8
1,5,60,-2,-1,1
1,9,92,-1,-1,1
8,0,43,-2,-1,8
8,1,79,-2,-1,8
3,2,64,-2,-1,3
3,8,39,-2,-1,3
7,8,79,-1,-1,7
4,3,50,-2,-1,4
5,8,61,-1,-1,5
3,4,88,-2,-1,3
1,2,65,-2,-1,1
4,9,32,-2,-1,4
10,5,57,-2,-1,10
4,1,79,-2,-1,4
5,3,23,-2,-1,5
1,1,84,-2,-1,1
8,10,70,-1,-1,8
8,3,4,-2,-1,8
6,10,29,-2,-1,6
9,1,78,-2,-1,9
6,1,9,-2,-1,6
10,0,40,-2,-1,10
4,0,92,-2,-1,4
4,2,98,-2,-1,4
7,1,88,-2,-1,7
1,10,33,-2,-1,1
3,9,18,-2,-1,3
10,10,98,-1,-1,10
2,0,93,-2,-1,2
4,6,60,-1,-1,4
8,6,42,-2,-1,8
7,3,16,-2,-1,7
4,7,17,-2,-1,4
1,7,81,-1,-1,1
0,8,91,-1,-2,0
0,9,72,-1,-2,0
9,6,97,-1,-1,9
2,4,44,-2,-1,2
7,0,41,-2,-1,7
5,7,87,-1,-1,5
4,10,97,-1,-1,4
8,10,70,-1,-1,8
1,9,53,-1,-1,1
8,9,25,-2,-1,8
8,9,24,-2,-1,8
9,1,14,-2,-1,9
3,9,46,-2,-1,3
4,1,79,-2,-1,4
10,8,31,-2,-1,10
10,5,76,-2,-1,10
5,3,3,-2,-1,5
0,9,19,-2,-2,0
4,9,18,-2,-1,4
0,3,16,-2,-2,0
1,9,95,-1,-1,1
3,4,74,-2,-1,3
8,8,52,-1,-1,8
9,6,2,-2,-1,9
10,8,20,-2,-1,10
1,7,61,-1,-1,1
9,9,59,-1,-1,9
6,6,19,-2,-1,6
4,0,99,-2,-1,4
6,9,13,-2,-1,6
3,6,14,-2,-1,3
10,1,30,-2,-1,10
3,1,19,-2,-1,3
1,3,7,-2,-1,1
1,9,52,-1,-1,1
4,0,28,-2,-1,4
2,4,68,-2,-1,2
3,7,60,-1,-1,3
9,3,77,-2,-1,9
8,10,24,-2,-1,8
5,10,21,-2,-1,5
5,5,42,-2,-1,5
6,5,76,-2,-1,6
9,3,69,-2,-1,9
3,1,38,-2,-1,3
4,5,68,-2,-1,4
8,5,16,-2,-1,8
9,5,94,-2,-1,9
0,7,99,-1,-2,0
9,1,81,-2,-1,9
3,5,76,-2,-1,3
7,5,100,-2,-1,7
5,6,68,-1,-1,5
6,0,43,-2,-1,6
9,1,99,-2,-1,9
2,8,6,-2,-1,2
2,5,65,-2,-1,2
4,8,46,-2,-1,4
8,8,58,-1,-1,8
8,0,42,-2,-1,8
1,8,59,-1,-1,1
3,1,49,-2,-1,3
10,6,12,-2,-1,10
5,1,86,-2,-1,5
7,4,99,-2,-1,7
0,2,52,-2,-2,0
1,2,67,-2,-1,1
5,0,89,-2,-1,5
9,5,24,-2,-1,9
4,7,57,-1,-1,4
2,1,45,-2,-1,2
4,8,75,-1,-1,4
7,7,76,-1,-1,7
9,3,40,-2,-1,9
1,7,46,-2,-1,1
0,7,42,-2,-2,0
0,5,96,-2,-2,0
4,1,48,-2,-1,4
3,1,56,-2,-1,3
7,7,14,-2,-1,7
10,10,48,-2,-1,10
10,9,81,-1,-1,10
7,3,87,-2,-1,7
9,9,54,-1,-1,9
10,9,3,-2,-1,10
3,3,67,-2,-1,3
3,5,41,-2,-1,3
1,7,1,-2,-1,1
5,9,100,-1,-1,5
0,4,59,-2,-2,0
8,0,86,-2,-1,8
6,5,24,-2,-1,6
6,0,74,-2,-1,6
8,8,39,-2,-1,8
5,7,55,-1,-1,5
10,8,65,-1,-1,10
9,6,56,-1,-1,9
9,10,63,-1,-1,9
10,0,79,-2,-1,10
5,5,18,-2,-1,5
7,1,38,-2,-1,7
8,10,50,-2,-1,8
6,4,72,-2,-1,6
10,3,79,-2,-1,10
1,5,36,-2,-1,1
5,9,92,-1,-1,5
3,5,32,-2,-1,3
8,2,15,-2,-1,8
10,0,22,-2,-1,10
9,5,30,-2,-1,9
7,9,75,-1,-1,7
10,8,2,-2,-1,10
7,6,2,-2,-1,7
2,7,15,-2,-1,2
5,8,58,-1,-1,5
7,10,85,-1,-1,7
6,0,78,-2,-1,6
5,2,27,-2,-1,5
1,4,49,-2,-1,1
10,5,91,-2,-1,10
3,2,73,-2,-1,3
7,7,65,-1,-1,7
8,5,12,-2,-1,8
9,7,29,-2,-1,9
6,2,44,-2,-1,6
0,4,8,-2,-2,0
4,6,99,-1,-1,4
0,9,34,-2,-2,0
0,6,75,-1,-2,0
5,8,54,-1,-1,5
8,5,15,-2,-1,8
6,1,12,-2,-1,6
7,6,53,-1,-1,7
1,0,31,-2,-1,1
0,5,34,-2,-2,0
9,2,1,-2,-1,9
6,2,99,-2,-1,6
10,1,94,-2,-1,10
5,7,57,-1,-1,5
1,10,64,-1,-1,1
7,6,10,-2,-1,7
3,7,90,-1,-1,3
5,2,17,-2,-1,5
7,0,95,-2,-1,7
4,4,8,-2,-1,4
2,4,83,-2,-1,2
8,6,94,-1,-1,8
0,3,58,-2,-2,0
10,10,100,-1,-1,10
10,5,96,-2,-1,10
8,4,89,-2,-1,8
9,10,79,-1,-1,9
10,8,48,-2,-1,10
4,1,37,-2,-1,4
8,4,53,-2,-1,8
6,7,86,-1,-1,6
9,6,92,-1,-1,9
8,0,77,-2,-1,8
10,6,95,-1,-1,10
9,8,65,-1,-1,9
0,2,52,-2,-2,0
1,6,30,-2,-1,1
10,10,13,-2,-1,10
5,10,87,-1,-1,5
0,3,23,-2,-2,0
4,3,23,-2,-1,4
2,10,18,-2,-1,2
4,0,98,-2,-1,4
2,5,98,-2,-1,2
7,2,75,-2,-1,7
1,7,54,-1,-1,1
9,1,16,-2,-1,9
5,4,9,-2,-1,5
0,8,75,-1,-2,0
4,9,6,-2,-1,4
9,7,44,-2,-1,9
0,9,61,-1,-2,0
6,3,67,-2,-1,6
0,4,30,-2,-2,0
9,2,2,-2,-1,9
0,5,84,-2,-2,0
4,8,33,-2,-1,4
0,9,13,-2,-2,0
9,7,75,-1,-1,9
